date,Ano,Ne
2022-11-27,1.12,5.15
2022-11-28,1.06,7.0
2022-11-29,1.06,7.0
2022-11-30,1.06,7.0
2022-12-01,1.045,7.715
2022-12-02,1.04,8.0
2022-12-05,1.01,10.0
2022-12-06,1.01,10.0
2022-12-07,1.01,10.0
2022-12-08,1.01,10.0
2022-12-09,1.005,13.5
2022-12-10,1.0,17.0
2022-12-11,1.0,17.0
2022-12-12,1.0,17.0
2022-12-13,1.0,17.0
2022-12-14,1.0,17.0
2022-12-15,1.0,17.0
2022-12-16,1.0,17.0
2022-12-17,1.0,17.0
2022-12-18,1.0,20.0
2022-12-19,1.0,30.0
2022-12-20,1.0,30.0
2022-12-21,1.0,30.0
2022-12-22,1.0,30.0
2022-12-23,1.0,30.0
2022-12-24,1.0,30.0
2022-12-25,1.0,30.0
2022-12-26,1.0,30.0
2022-12-27,1.0,30.0
2022-12-28,1.0,30.0
2022-12-29,1.0,30.0
2022-12-30,1.0,30.0
2022-12-31,1.0,30.0
2023-01-01,1.0,30.0
2023-01-02,1.0,30.0
2023-01-03,1.0,30.0
2023-01-04,1.0,30.0
