date,Davidová Markéta,Fišerová Tereza,Francouz Pavel,Hirt Jan,Krejčíková/Siniaková,Ledecká Ester,Ondra Adam,Palát Ondřej,Pastrňák David,Procházka Jiří,Přindiš Vít,Schick Patrik,Sáblíková Martina,Vabroušek Petr,Vadlejch Jakub,Špotáková Barbora
2022-06-13,,70.0,45.0,80.0,,1.6,,30.0,35.0,2.5,,40.0,50.0,60.0,,
2022-06-14,,70.0,45.0,80.0,,1.625,,30.0,35.0,2.45,,40.0,50.0,60.0,,
2022-06-15,,70.0,45.0,80.0,,1.65,,30.0,35.0,2.4,,40.0,50.0,60.0,,
2022-06-16,,80.0,50.0,100.0,,1.7,,30.0,35.0,2.3,,40.0,60.0,70.0,,
2022-06-17,,80.0,50.0,100.0,,1.7,,30.0,35.0,2.3,,40.0,60.0,70.0,,
2022-06-18,,80.0,50.0,100.0,,1.65,,30.0,35.0,2.3499999999999996,,37.5,60.0,70.0,,
2022-06-19,,80.0,50.0,100.0,,1.6,,30.0,35.0,2.4,,35.0,60.0,70.0,,
2022-06-20,,80.0,50.0,100.0,,1.65,,30.0,35.0,2.4,,35.0,60.0,70.0,,
2022-06-21,,80.0,50.0,100.0,,1.65,,30.0,37.5,2.4,,35.0,60.0,70.0,,
2022-06-22,,80.0,50.0,100.0,,1.65,,30.0,40.0,2.4,,35.0,60.0,70.0,,
2022-06-23,,80.0,50.0,100.0,,1.65,,30.0,40.0,2.4,,35.0,60.0,70.0,,
2022-06-24,,80.0,50.0,100.0,,1.65,,30.0,40.0,2.4,,35.0,60.0,70.0,,
2022-06-25,,90.0,60.0,100.0,,1.65,,20.0,40.0,2.5,,35.0,70.0,80.0,,
2022-06-26,,90.0,60.0,100.0,,1.6749999999999998,,22.5,40.0,2.45,,35.0,70.0,80.0,,
2022-06-27,,90.0,60.0,100.0,,1.7,,27.5,40.0,2.3499999999999996,,35.0,70.0,80.0,,
2022-06-28,,90.0,60.0,100.0,,1.7,,30.0,40.0,2.3,,35.0,70.0,80.0,,
2022-06-29,,90.0,60.0,100.0,,1.7,,30.0,40.0,2.3,,35.0,70.0,80.0,,
2022-06-30,,90.0,60.0,100.0,,1.7,,30.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-01,,90.0,60.0,100.0,,1.7,,30.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-02,,90.0,60.0,100.0,,1.7,,30.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-03,,90.0,60.0,100.0,,1.7,,30.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-04,,90.0,60.0,100.0,,1.7,,30.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-05,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-06,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-07,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-08,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-09,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-10,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-11,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-12,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-13,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-14,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-15,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-16,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-17,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-18,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-19,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-20,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-21,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-22,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-23,,90.0,60.0,100.0,,1.7,,50.0,40.0,2.3,,35.0,70.0,80.0,,
2022-07-24,,90.0,60.0,100.0,,1.65,,50.0,40.0,2.3499999999999996,,35.0,70.0,80.0,30.0,
2022-07-25,,90.0,60.0,100.0,,1.6,,50.0,40.0,2.4,,35.0,70.0,80.0,30.0,
2022-07-26,,90.0,60.0,100.0,,1.525,,50.0,42.5,2.45,,37.5,70.0,80.0,32.5,
2022-07-27,,90.0,60.0,100.0,,1.45,,50.0,45.0,2.5,,40.0,70.0,80.0,35.0,
